factura,cliente,fecha,subtotal,iva,total
F25-0154,Logística Global Factura N°: F25-0154,2025-10-05,2042.94,388.16,2431.1
F25-0155,Inversiones ABC Factura N°: F25-0155,2025-02-07,225.0,42.75,267.75
F25-0156,Logística Global Factura N°: F25-0156,2025-08-04,2198.97,417.8,2616.77
F25-0157,Servicios Express Factura N°: F25-0157,2025-04-12,998.97,189.8,1188.77
F25-0158,Servicios Express Factura N°: F25-0158,2025-03-28,2430.93,461.88,2892.81
F25-0159,Inversiones ABC Factura N°: F25-0159,2025-09-11,13249.98,2517.5,15767.48
F25-0160,Logística Global Factura N°: F25-0160,2025-07-25,23153.97,4399.25,27553.22
F25-0161,Servicios Express Factura N°: F25-0161,2025-05-05,276.42,52.52,328.94
F25-0162,Inversiones ABC Factura N°: F25-0162,2025-10-03,10351.5,1966.79,12318.28
F25-0163,Logística Global Factura N°: F25-0163,2025-03-13,38.97,7.4,46.37
F25-0164,Servicios Express Factura N°: F25-0164,2025-02-26,11122.5,2113.28,13235.77
F25-0165,Inversiones ABC Factura N°: F25-0165,2025-06-13,1362.0,258.78,1620.78
F25-0166,Inversiones ABC Factura N°: F25-0166,2025-11-29,3102.84,589.54,3692.38
F25-0167,Logística Global Factura N°: F25-0167,2025-06-06,360.0,68.4,428.4
F25-0168,Servicios Express Factura N°: F25-0168,2025-08-01,10800.0,2052.0,12852.0
F25-0169,Logística Global Factura N°: F25-0169,2025-05-25,51.96,9.87,61.83
F25-0170,Logística Global Factura N°: F25-0170,2025-02-04,379.95,72.19,452.14
F25-0171,Inversiones ABC Factura N°: F25-0171,2025-07-28,7729.5,1468.61,9198.1
F25-0172,Tech Solutions Factura N°: F25-0172,2025-02-27,767.94,145.91,913.85
F25-0173,Tienda Don Pepe Factura N°: F25-0173,2025-08-25,180.0,34.2,214.2
F25-0174,Tienda Don Pepe Factura N°: F25-0174,2025-04-22,1158.93,220.2,1379.13
F25-0175,Tienda Don Pepe Factura N°: F25-0175,2025-06-21,12591.96,2392.47,14984.43
F25-0176,Tienda Don Pepe Factura N°: F25-0176,2025-11-12,3702.0,703.38,4405.38
F25-0177,Tienda Don Pepe Factura N°: F25-0177,2025-07-24,15618.0,2967.42,18585.42
F25-0178,Tech Solutions Factura N°: F25-0178,2025-08-20,949.5,180.41,1129.9
F25-0179,Inversiones ABC Factura N°: F25-0179,2025-12-03,540.0,102.6,642.6
F25-0180,Tech Solutions Factura N°: F25-0180,2025-09-18,7355.88,1397.62,8753.5
F25-0181,Tienda Don Pepe Factura N°: F25-0181,2025-08-12,1980.0,376.2,2356.2
F25-0182,Tech Solutions Factura N°: F25-0182,2025-12-06,8754.0,1663.26,10417.26
F25-0183,Inversiones ABC Factura N°: F25-0183,2025-07-30,12077.94,2294.81,14372.75
F25-0184,Logística Global Factura N°: F25-0184,2025-01-29,25.5,4.84,30.34
F25-0185,Inversiones ABC Factura N°: F25-0185,2025-11-04,129.9,24.68,154.58
F25-0186,Inversiones ABC Factura N°: F25-0186,2025-01-23,664.95,126.34,791.29
F25-0187,Servicios Express Factura N°: F25-0187,2025-07-06,225.0,42.75,267.75
F25-0188,Inversiones ABC Factura N°: F25-0188,2025-08-21,1200.0,228.0,1428.0
F25-0189,Tech Solutions Factura N°: F25-0189,2025-04-01,135.0,25.65,160.65
F25-0190,Tienda Don Pepe Factura N°: F25-0190,2025-10-23,526.5,100.03,626.53
F25-0191,Servicios Express Factura N°: F25-0191,2025-04-03,1800.0,342.0,2142.0
F25-0192,Tech Solutions Factura N°: F25-0192,2025-11-26,12429.0,2361.51,14790.51
F25-0193,Tienda Don Pepe Factura N°: F25-0193,2025-08-03,1328.97,252.5,1581.47
F25-0194,Inversiones ABC Factura N°: F25-0194,2025-11-29,10435.5,1982.75,12418.25
F25-0195,Logística Global Factura N°: F25-0195,2025-02-26,550.98,104.69,655.67
F25-0196,Tienda Don Pepe Factura N°: F25-0196,2025-01-09,11250.93,2137.68,13388.61
F25-0197,Logística Global Factura N°: F25-0197,2025-11-30,180.0,34.2,214.2
F25-0198,Tech Solutions Factura N°: F25-0198,2025-06-15,633.0,120.27,753.27
F25-0199,Logística Global Factura N°: F25-0199,2025-03-20,585.87,111.32,697.19
F25-0200,Logística Global Factura N°: F25-0200,2025-11-09,791.43,150.37,941.8
F25-0201,Servicios Express Factura N°: F25-0201,2025-12-13,857.4,162.91,1020.31
F25-0202,Tech Solutions Factura N°: F25-0202,2025-03-19,1575.0,299.25,1874.25
F25-0203,Tech Solutions Factura N°: F25-0203,2025-04-10,360.0,68.4,428.4
F25-0204,Inversiones ABC Factura N°: F25-0204,2025-05-06,2190.0,416.1,2606.1
F25-0205,Tienda Don Pepe Factura N°: F25-0205,2025-09-16,943.95,179.35,1123.3
F25-0206,Tienda Don Pepe Factura N°: F25-0206,2025-01-30,625.98,118.94,744.92
F25-0207,Inversiones ABC Factura N°: F25-0207,2025-10-25,181.86,34.55,216.41
F25-0208,Tienda Don Pepe Factura N°: F25-0208,2025-03-31,615.0,116.85,731.85
F25-0209,Tienda Don Pepe Factura N°: F25-0209,2025-09-15,180.0,34.2,214.2
F25-0210,Logística Global Factura N°: F25-0210,2025-06-03,475.98,90.44,566.42
F25-0211,Inversiones ABC Factura N°: F25-0211,2025-04-29,859.95,163.39,1023.34
F25-0212,Tech Solutions Factura N°: F25-0212,2025-05-04,1018.5,193.52,1212.02
F25-0213,Inversiones ABC Factura N°: F25-0213,2025-07-02,1200.0,228.0,1428.0
F25-0214,Logística Global Factura N°: F25-0214,2025-02-10,2449.95,465.49,2915.44
F25-0215,Tienda Don Pepe Factura N°: F25-0215,2025-02-18,18000.0,3420.0,21420.0
F25-0216,Tienda Don Pepe Factura N°: F25-0216,2025-05-01,45.0,8.55,53.55
F25-0217,Servicios Express Factura N°: F25-0217,2025-10-20,3158.97,600.2,3759.17
F25-0218,Logística Global Factura N°: F25-0218,2025-08-19,360.0,68.4,428.4
F25-0219,Servicios Express Factura N°: F25-0219,2025-08-13,7200.0,1368.0,8568.0
F25-0220,Tech Solutions Factura N°: F25-0220,2025-05-03,600.0,114.0,714.0
F25-0221,Tech Solutions Factura N°: F25-0221,2025-06-02,1272.99,241.87,1514.86
F25-0222,Logística Global Factura N°: F25-0222,2025-04-13,2162.94,410.96,2573.9
F25-0223,Tienda Don Pepe Factura N°: F25-0223,2025-08-03,2641.5,501.88,3143.39
F25-0224,Inversiones ABC Factura N°: F25-0224,2025-06-06,153.0,29.07,182.07
F25-0225,Logística Global Factura N°: F25-0225,2025-12-07,1242.45,236.07,1478.52
F25-0226,Servicios Express Factura N°: F25-0226,2025-06-09,352.5,66.97,419.48
F25-0227,Logística Global Factura N°: F25-0227,2025-05-18,540.93,102.78,643.71
F25-0228,Inversiones ABC Factura N°: F25-0228,2025-12-21,1605.0,304.95,1909.95
F25-0229,Tech Solutions Factura N°: F25-0229,2025-10-24,8415.0,1598.85,10013.85
F25-0230,Tech Solutions Factura N°: F25-0230,2025-04-18,11964.42,2273.24,14237.66
F25-0231,Logística Global Factura N°: F25-0231,2025-11-14,12.99,2.47,15.46
F25-0232,Servicios Express Factura N°: F25-0232,2025-02-16,7200.0,1368.0,8568.0
F25-0233,Tech Solutions Factura N°: F25-0233,2025-09-18,3979.92,756.18,4736.1
F25-0234,Inversiones ABC Factura N°: F25-0234,2025-10-18,375.0,71.25,446.25
F25-0235,Tech Solutions Factura N°: F25-0235,2025-05-18,5294.91,1006.03,6300.94
F25-0236,Tech Solutions Factura N°: F25-0236,2025-02-07,3180.0,604.2,3784.2
F25-0237,Inversiones ABC Factura N°: F25-0237,2025-08-17,694.5,131.96,826.46
F25-0238,Servicios Express Factura N°: F25-0238,2025-03-14,231.96,44.07,276.03
F25-0239,Tech Solutions Factura N°: F25-0239,2025-06-20,1813.92,344.64,2158.56
F25-0240,Logística Global Factura N°: F25-0240,2025-12-20,2095.41,398.13,2493.54
F25-0241,Tienda Don Pepe Factura N°: F25-0241,2025-05-22,526.44,100.02,626.46
F25-0242,Tienda Don Pepe Factura N°: F25-0242,2025-02-09,12753.0,2423.07,15176.07
F25-0243,Tech Solutions Factura N°: F25-0243,2025-03-20,384.0,72.96,456.96
F25-0244,Inversiones ABC Factura N°: F25-0244,2025-12-25,2979.0,566.01,3545.01
F25-0245,Tech Solutions Factura N°: F25-0245,2025-01-05,6218.49,1181.51,7400.0
F25-0246,Servicios Express Factura N°: F25-0246,2025-02-07,9555.96,1815.63,11371.59
F25-0247,Tech Solutions Factura N°: F25-0247,2025-03-11,1042.89,198.15,1241.04
F25-0248,Tienda Don Pepe Factura N°: F25-0248,2025-06-24,9729.9,1848.68,11578.58
F25-0249,Tech Solutions Factura N°: F25-0249,2025-08-10,301.5,57.29,358.79
F25-0250,Servicios Express Factura N°: F25-0250,2025-02-18,75.0,14.25,89.25
F25-0251,Tienda Don Pepe Factura N°: F25-0251,2025-10-15,180.0,34.2,214.2
F25-0252,Inversiones ABC Factura N°: F25-0252,2025-06-09,9062.37,1721.85,10784.22
F25-0253,Logística Global Factura N°: F25-0253,2025-11-10,1866.0,354.54,2220.54
F25-0254,Tienda Don Pepe Factura N°: F25-0254,2025-07-15,4133.97,785.45,4919.42
F25-0255,Tienda Don Pepe Factura N°: F25-0255,2025-03-31,1080.0,205.2,1285.2
F25-0256,Inversiones ABC Factura N°: F25-0256,2025-02-08,129.9,24.68,154.58
F25-0257,Inversiones ABC Factura N°: F25-0257,2025-09-14,2857.89,543.0,3400.89
F25-0258,Tech Solutions Factura N°: F25-0258,2025-01-18,1523.97,289.55,1813.52
F25-0259,Logística Global Factura N°: F25-0259,2025-11-19,270.0,51.3,321.3
F25-0260,Tienda Don Pepe Factura N°: F25-0260,2025-05-03,1530.93,290.88,1821.81
F25-0261,Tienda Don Pepe Factura N°: F25-0261,2025-11-13,2574.45,489.15,3063.6
F25-0262,Inversiones ABC Factura N°: F25-0262,2025-06-23,129.9,24.68,154.58
F25-0263,Servicios Express Factura N°: F25-0263,2025-03-17,10725.0,2037.75,12762.75
F25-0264,Servicios Express Factura N°: F25-0264,2025-08-09,11025.0,2094.75,13119.75
F25-0265,Tech Solutions Factura N°: F25-0265,2025-07-10,13847.94,2631.11,16479.05
F25-0266,Servicios Express Factura N°: F25-0266,2025-08-03,10043.91,1908.34,11952.25
F25-0267,Tech Solutions Factura N°: F25-0267,2025-02-25,6780.0,1288.2,8068.2
F25-0268,Logística Global Factura N°: F25-0268,2025-10-25,13932.99,2647.27,16580.26
F25-0269,Servicios Express Factura N°: F25-0269,2025-05-23,1974.0,375.06,2349.06
F25-0270,Inversiones ABC Factura N°: F25-0270,2025-12-23,3690.0,701.1,4391.1
F25-0271,Tech Solutions Factura N°: F25-0271,2025-11-11,975.0,185.25,1160.25
F25-0272,Servicios Express Factura N°: F25-0272,2025-12-29,290.88,55.27,346.15
F25-0273,Tech Solutions Factura N°: F25-0273,2025-03-14,668.4,127.0,795.4
F25-0274,Tienda Don Pepe Factura N°: F25-0274,2025-10-28,1131.96,215.07,1347.03
F25-0275,Logística Global Factura N°: F25-0275,2025-10-17,502.5,95.47,597.98
F25-0276,Inversiones ABC Factura N°: F25-0276,2025-04-08,2130.0,404.7,2534.7
F25-0277,Tienda Don Pepe Factura N°: F25-0277,2025-10-26,25.5,4.84,30.34
F25-0278,Logística Global Factura N°: F25-0278,2025-08-09,270.0,51.3,321.3
F25-0279,Logística Global Factura N°: F25-0279,2025-01-01,135.0,25.65,160.65
F25-0280,Tech Solutions Factura N°: F25-0280,2025-03-17,1530.93,290.88,1821.81
F25-0281,Servicios Express Factura N°: F25-0281,2025-12-06,3420.0,649.8,4069.8
F25-0282,Logística Global Factura N°: F25-0282,2025-09-18,869.85,165.27,1035.12
F25-0283,Tech Solutions Factura N°: F25-0283,2025-09-24,10575.9,2009.42,12585.32
F25-0284,Inversiones ABC Factura N°: F25-0284,2025-02-19,10770.0,2046.3,12816.3
F25-0285,Servicios Express Factura N°: F25-0285,2025-05-23,405.0,76.95,481.95
F25-0286,Tienda Don Pepe Factura N°: F25-0286,2025-07-11,2070.0,393.3,2463.3
F25-0287,Logística Global Factura N°: F25-0287,2025-11-07,576.0,109.44,685.44
F25-0288,Servicios Express Factura N°: F25-0288,2025-08-26,12717.99,2416.42,15134.41
F25-0289,Logística Global Factura N°: F25-0289,2025-03-13,750.0,142.5,892.5
F25-0290,Tech Solutions Factura N°: F25-0290,2025-02-16,3369.0,640.11,4009.11
F25-0291,Tech Solutions Factura N°: F25-0291,2025-09-13,1130.94,214.88,1345.82
F25-0292,Tienda Don Pepe Factura N°: F25-0292,2025-01-18,1522.5,289.27,1811.78
F25-0293,Tech Solutions Factura N°: F25-0293,2025-06-18,12975.0,2465.25,15440.25
F25-0294,Inversiones ABC Factura N°: F25-0294,2025-07-01,900.0,171.0,1071.0
F25-0295,Tech Solutions Factura N°: F25-0295,2025-01-07,357.0,67.83,424.83
F25-0296,Tech Solutions Factura N°: F25-0296,2025-05-26,11094.45,2107.95,13202.4
F25-0297,Tienda Don Pepe Factura N°: F25-0297,2025-04-21,201.96,38.37,240.33
F25-0298,Logística Global Factura N°: F25-0298,2025-05-06,2344.44,445.44,2789.88
F25-0299,Tienda Don Pepe Factura N°: F25-0299,2025-09-30,225.0,42.75,267.75
F25-0300,Logística Global Factura N°: F25-0300,2025-11-10,525.0,99.75,624.75
F25-0301,Logística Global Factura N°: F25-0301,2025-08-17,11025.0,2094.75,13119.75
F25-0302,Inversiones ABC Factura N°: F25-0302,2025-04-11,246.81,46.89,293.7
F25-0303,Logística Global Factura N°: F25-0303,2025-12-09,2469.9,469.28,2939.18
F25-0304,Tech Solutions Factura N°: F25-0304,2025-01-10,6025.5,1144.85,7170.35
F25-0305,Logística Global Factura N°: F25-0305,2025-02-10,10800.0,2052.0,12852.0
